feature,anova_f,anova_p,variance
slope_570_600,14.954065066217865,9.126207664895051e-12,1.8680363340487595e-06
diff_570_600,14.954065066217868,9.126207664895053e-12,0.0016812327006438838
ratio_570_600,12.996489924835974,2.1041047165511887e-10,0.3047027649761405
norm_550,12.36016508243888,5.999589938878307e-10,0.0008917385178130613
norm_600,12.167616002776086,8.260622543842336e-10,0.0008863793510650422
norm_650,11.737188927949058,1.6963492677483239e-09,0.0011007405446355578
ratio_450_650,9.274479209426072,1.1803570427462992e-07,0.5145070267381932
diff_550_570,8.75126689683573,2.988507646369828e-07,0.0002858663435022221
slope_550_570,8.751266896835729,2.9885076463698886e-07,7.146658587555553e-07
norm_570,8.359501245315188,6.02911119559018e-07,0.00031497877257808266
ratio_550_570,6.754660295505341,1.1275453231432033e-05,0.009900925164098127
slope_600_650,5.7040411025302316,7.99880570429614e-05,3.897221814896348e-08
diff_600_650,5.704041102530232,7.998805704296144e-05,9.743054537240871e-05
slope_500_550,5.128478153672829,0.00023657934106231568,1.9612793596758003e-07
diff_500_550,5.128478153672831,0.0002365793410623158,0.0004903198399189502
ratio_600_650,4.7466039323959475,0.00048726883845873746,0.012557616036757738
norm_500,4.5277968087378975,0.0007376948765863517,0.0005611549368973144
ratio_500_550,3.2068717617451585,0.008982546103289201,0.025339067354179196
diff_450_500,2.9822805758336868,0.01368073119442476,0.0013014109411856691
slope_450_500,2.982280575833687,0.01368073119442476,5.205643764742678e-07
ratio_450_500,2.361472881963457,0.04301364997507655,0.06011792958927338
norm_450,2.1735073436415346,0.06038943667635286,0.0009948384033167375
